SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
BSE,E,500002,EQUITY,0,ABB,1.0,ABB,,,,5.0,,ES,A,ABB INDIA LIMITED
BSE,E,500003,EQUITY,0,AEGISLOG,1.0,Aegis Logistics,,,,5.0,,ES,A,AEGIS LOGISTICS LTD.
BSE,E,500008,EQUITY,0,ARE&M,1.0,Amara Raja Energy & Mobility,,,,5.0,,ES,A,Amara Raja Energy & Mobil
BSE,E,500009,EQUITY,0,AMBALALSA,1.0,Ambalal Sarabhai Enterprises,,,,1.0,,ES,X,AMBALAL SARABHAI ENTERPRI
BSE,E,500012,EQUITY,0,ANDHRAPET,1.0,Andhra Petrochemicals,,,,1.0,,ES,X,ANDHRA PETROCHEMICALS LTD
BSE,E,500013,EQUITY,0,ANSALAPI,1.0,Ansal Properties & Infrastructure,,,,1.0,,ES,Z,ANSAL PROPERTIES & INFRAS
BSE,E,500014,EQUITY,0,UTIQUE,1.0,Utique Enterprises,,,,1.0,,ES,X,UTIQUE ENTERPRISES LIMITE
BSE,E,500016,EQUITY,0,ARUNAHTEL,1.0,Aruna Hotels,,,,1.0,,ES,X,ARUNA HOTELS LTD.
BSE,E,500020,EQUITY,0,BOMDYEING,1.0,Bombay Dyeing,,,,5.0,,ES,A,BOMBAY DYEING & MFG.CO.LT
BSE,E,500023,EQUITY,0,ASIANHOTNR,1.0,Asian Hotels (North),,,,5.0,,ES,B,ASIAN HOTELS (NORTH) LIMI
BSE,E,500027,EQUITY,0,ATUL,1.0,ATUL,,,,5.0,,ES,A,ATUL LTD.
BSE,E,500028,EQUITY,0,ATVPR,1.0,Atv Projects,,,,1.0,,ES,XT,ATV PROJECTS INDIA LTD.
BSE,E,500031,EQUITY,0,BAJAJELEC,1.0,Bajaj Electricals,,,,5.0,,ES,A,BAJAJ ELECTRICALS LTD.
BSE,E,500032,EQUITY,0,BAJAJHIND,1.0,Bajaj Hindusthan Sugar,,,,1.0,,ES,A,BAJAJ HINDUSTHAN SUGAR LI
BSE,E,500033,EQUITY,0,FORCEMOT,1.0,Force Motors,,,,5.0,,ES,A,FORCE MOTORS LTD.
BSE,E,500034,EQUITY,0,BAJFINANCE,1.0,Bajaj Finance,,,,5.0,,ES,A,BAJAJ FINANCE LIMITED
BSE,E,500038,EQUITY,0,BALRAMCHIN,1.0,Balrampur Chini Mills,,,,5.0,,ES,A,BALRAMPUR CHINI MILLS LTD
BSE,E,500039,EQUITY,0,BANCOINDIA,1.0,Banco Products,,,,5.0,,ES,B,BANCO PRODUCTS (INDIA) LT
BSE,E,500040,EQUITY,0,CENTURYTEX,1.0,Century Textile & Industries,,,,5.0,,ES,A,CENTURY TEXTILES & INDUST
BSE,E,500041,EQUITY,0,BANARISUG,1.0,Bannari Amman Sugars,,,,5.0,,ES,B,BANNARI AMMAN SUGARS LTD.
BSE,E,500042,EQUITY,0,BASF,1.0,BASF,,,,5.0,,ES,A,BASF INDIA LTD.
BSE,E,500043,EQUITY,0,BATAINDIA,1.0,Bata,,,,5.0,,ES,A,BATA INDIA LTD.
BSE,E,500048,EQUITY,0,BEML,1.0,BEML,,,,5.0,,ES,A,BEML LTD.
BSE,E,500049,EQUITY,0,BEL,1.0,Bharat Electronics,,,,5.0,,ES,A,BHARAT ELECTRONICS LTD.
BSE,E,500052,EQUITY,0,BEPL,1.0,Bhansali Engineering Polymers,,,,5.0,,ES,B,BHANSALI ENGINEERING POLY
BSE,E,500058,EQUITY,0,BIHSPONG,1.0,Bihar Sponge Iron,,,,1.0,,ES,X,BIHAR SPONGE IRON LTD.
BSE,E,500059,EQUITY,0,BINANIIND,1.0,Binani Industries,,,,1.0,,ES,B,BINANI INDUSTRIES LTD.
BSE,E,500060,EQUITY,0,BIRLACABLE,1.0,Birla Cable,,,,5.0,,ES,B,Birla Cable Limited
BSE,E,500067,EQUITY,0,BLUESTARCO,1.0,Blue Star,,,,5.0,,ES,A,BLUE STAR LTD.
BSE,E,500068,EQUITY,0,DISAQ,1.0,DISA,,,,5.0,,ES,B,DISA INDIA LTD.
BSE,E,500069,EQUITY,0,QUESTCAP,1.0,Quest Capital Markets,,,,5.0,,ES,X,QUEST CAPITAL MARKETS LIM
BSE,E,500074,EQUITY,0,BPL,1.0,BPL,,,,5.0,,ES,T,BPL LTD.
BSE,E,500078,EQUITY,0,OAL,1.0,Oriental Aromatics,,,,5.0,,ES,B,ORIENTAL AROMATICS LIMITE
BSE,E,500083,EQUITY,0,CENTEXT,1.0,Century Extrusions,,,,1.0,,ES,T,CENTURY EXTRUSIONS LTD.
BSE,E,500084,EQUITY,0,CESC,1.0,CESC,,,,5.0,,ES,A,CESC LTD.
BSE,E,500085,EQUITY,0,CHAMBLFERT,1.0,Chambal Fertilisers & Chemicals,,,,5.0,,ES,A,CHAMBAL FERTILISERS & CHE
BSE,E,500086,EQUITY,0,EXIDEIND,1.0,Exide Industries,,,,5.0,,ES,A,EXIDE INDUSTRIES LTD.
BSE,E,500087,EQUITY,0,CIPLA,1.0,Cipla,,,,5.0,,ES,A,CIPLA LTD.
BSE,E,500089,EQUITY,0,DICIND,1.0,DIC India,,,,5.0,,ES,T,DIC INDIA LTD.
BSE,E,500092,EQUITY,0,CRISIL,1.0,CRISIL,,,,5.0,,ES,A,CRISIL LTD.
BSE,E,500093,EQUITY,0,CGPOWER,1.0,CG Power & Industrial Solutions,,,,5.0,,ES,A,CG Power and Industrial S
BSE,E,500096,EQUITY,0,DABUR,1.0,Dabur,,,,5.0,,ES,A,DABUR INDIA LTD.
BSE,E,500097,EQUITY,0,DALMIASUG,1.0,Dalmia Bharat Sugar & Industries,,,,5.0,,ES,B,DALMIA BHARAT SUGAR AND I
BSE,E,500101,EQUITY,0,ARVIND,1.0,Arvind,,,,5.0,,ES,A,ARVIND LTD.
BSE,E,500103,EQUITY,0,BHEL,1.0,Bharat Heavy Electricals,,,,5.0,,ES,A,BHARAT HEAVY ELECTRICALS 
BSE,E,500104,EQUITY,0,HINDPETRO,1.0,Hindustan Petroleum,,,,5.0,,ES,A,HINDUSTAN PETROLEUM CORPO
BSE,E,500106,EQUITY,0,IFCI,1.0,IFCI,,,,1.0,,ES,A,IFCI LTD.
BSE,E,500108,EQUITY,0,MTNL,1.0,Mahanagar Telephone Nigam,,,,1.0,,ES,A,MAHANAGAR TELEPHONE NIGAM
BSE,E,500109,EQUITY,0,MRPL,1.0,Mangalore Refinery & Petroleum,,,,5.0,,ES,A,MANGALORE REFINERY & PETR
BSE,E,500110,EQUITY,0,CHENNPETRO,1.0,Chennai Petroleum Corporation,,,,5.0,,ES,A,CHENNAI PETROLEUM CORPORA
BSE,E,500112,EQUITY,0,SBIN,1.0,State Bank of India,,,,5.0,,ES,A,STATE BANK OF INDIA
BSE,E,500113,EQUITY,0,SAIL,1.0,Steel Authority of India,,,,5.0,,ES,A,STEEL AUTHORITY OF INDIA 
BSE,E,500114,EQUITY,0,TITAN,1.0,Titan,,,,5.0,,ES,A,TITAN COMPANY LIMITED
BSE,E,500116,EQUITY,0,IDBI,1.0,IDBI Bank,,,,1.0,,ES,A,IDBI BANK LTD.
BSE,E,500117,EQUITY,0,DCW,1.0,DCW,,,,1.0,,ES,A,DCW LTD.
BSE,E,500119,EQUITY,0,DHAMPURSUG,1.0,Dhampur Sugar Mills,,,,5.0,,ES,B,DHAMPUR SUGAR MILLS LTD.
BSE,E,500120,EQUITY,0,DIAMINESQ,1.0,Diamines & Chemicals,,,,5.0,,ES,B,DIAMINES & CHEMICALS LTD.
BSE,E,500123,EQUITY,0,ELANTAS,1.0,Elantas Beck,,,,5.0,,ES,B,ELANTAS BECK INDIA LTD.
BSE,E,500124,EQUITY,0,DRREDDY,1.0,Dr Reddys Laboratories,,,,5.0,,ES,A,DR.REDDYS LABORATORIES LT
BSE,E,500125,EQUITY,0,EIDPARRY,1.0,EID Parry,,,,5.0,,ES,A,E.I.D.-PARRY (INDIA) LTD.
BSE,E,500126,EQUITY,0,PGHL,1.0,Procter & Gamble Health,,,,5.0,,ES,A,PROCTER & GAMBLE HEALTH L
BSE,E,500128,EQUITY,0,ELECTCAST,1.0,Electrosteel Castings,,,,5.0,,ES,A,ELECTROSTEEL CASTINGS LTD
BSE,E,500133,EQUITY,0,ESABINDIA,1.0,ESAB India,,,,5.0,,ES,A,ESAB INDIA LTD.
BSE,E,500135,EQUITY,0,EPL,1.0,Essel Propack,,,,5.0,,ES,A,EPL LIMITED
BSE,E,500136,EQUITY,0,ESTER,1.0,Ester Industries,,,,5.0,,ES,B,ESTER INDUSTRIES LTD.
BSE,E,500142,EQUITY,0,FGP,1.0,FGP,,,,1.0,,ES,XT,FGP LTD.
BSE,E,500143,EQUITY,0,PHCAP,1.0,PH Capital,,,,5.0,,ES,XT,PH CAPITAL LTD.
BSE,E,500144,EQUITY,0,FINCABLES,1.0,Finolex Cables,,,,5.0,,ES,A,FINOLEX CABLES LTD.
BSE,E,500147,EQUITY,0,COCKERILL,1.0,John Cockerill,,,,5.0,,ES,B,JOHN COCKERILL INDIA LIMI
BSE,E,500148,EQUITY,0,UFLEX,1.0,UFLEX,,,,5.0,,ES,B,UFLEX LTD.
BSE,E,500150,EQUITY,0,FOSECOIND,1.0,Foseco,,,,5.0,,ES,B,FOSECO INDIA LTD.
BSE,E,500151,EQUITY,0,GOLDENTOBC,1.0,Golden Tobacco,,,,1.0,,ES,Z,GOLDEN TOBACCO LTD.
BSE,E,500153,EQUITY,0,GANESHBE,1.0,Ganesh Benzoplast,,,,5.0,,ES,B,GANESH BENZOPLAST LTD.
BSE,E,500159,EQUITY,0,METROGLOBL,1.0,Metroglobal,,,,5.0,,ES,X,METROGLOBAL LIMITED
BSE,E,500160,EQUITY,0,GTL,1.0,GTL,,,,1.0,,ES,B,GTL LTD.
BSE,E,500163,EQUITY,0,GODFRYPHLP,1.0,Godfrey Phillips,,,,5.0,,ES,A,GODFREY PHILLIPS INDIA LT
BSE,E,500164,EQUITY,0,GODREJIND,1.0,Godrej Industries,,,,5.0,,ES,A,GODREJ INDUSTRIES LTD.
BSE,E,500165,EQUITY,0,KANSAINER,1.0,Kansai Nerolac Paints,,,,5.0,,ES,A,KANSAI NEROLAC PAINTS LTD
BSE,E,500166,EQUITY,0,GOODRICKE,1.0,Goodricke Group,,,,5.0,,ES,X,GOODRICKE GROUP LTD.
BSE,E,500168,EQUITY,0,GOODYEAR,1.0,Goodyear,,,,5.0,,ES,B,GOODYEAR INDIA LTD.
BSE,E,500170,EQUITY,0,GTNINDS,1.0,GTN Industries,,,,1.0,,ES,X,GTN INDUSTRIES LTD.
BSE,E,500171,EQUITY,0,GHCL,1.0,Gujarat Heavy Chemicals,,,,5.0,,ES,A,GHCL LTD.
BSE,E,500173,EQUITY,0,GFLLIMITED,1.0,GFL,,,,1.0,,ES,B,GFL LIMITED
BSE,E,500174,EQUITY,0,GLFL,1.0,Gujarat Lease Financing,,,,1.0,,ES,T,GUJARAT LEASE FINANCING L
BSE,E,500179,EQUITY,0,HCL-INSYS,1.0,HCL Infosystems,,,,1.0,,ES,B,HCL INFOSYSTEMS LTD.
BSE,E,500180,EQUITY,0,HDFCBANK,1.0,HDFC Bank,,,,5.0,,ES,A,HDFC BANK LTD.
BSE,E,500182,EQUITY,0,HEROMOTOCO,1.0,Hero Motocorp,,,,5.0,,ES,A,HERO MOTOCORP LTD.
BSE,E,500183,EQUITY,0,HFCL,1.0,HFCL,,,,5.0,,ES,A,HFCL LIMITED
BSE,E,500184,EQUITY,0,HSCL,1.0,Himadri Speciality Chemical,,,,5.0,,ES,A,Himadri Speciality Chemic
BSE,E,500185,EQUITY,0,HCC,1.0,HCC,,,,1.0,,ES,A,HINDUSTAN CONSTRUCTION CO
BSE,E,500186,EQUITY,0,HINDOILEXP,1.0,Hindustan Oil Exploration,,,,5.0,,ES,A,HINDUSTAN OIL EXPLORATION
BSE,E,500187,EQUITY,0,AGI,1.0,AGI Greenpac,,,,5.0,,ES,A,AGI GREENPAC LIMITED
BSE,E,500188,EQUITY,0,HINDZINC,1.0,Hindustan Zinc,,,,5.0,,ES,A,HINDUSTAN ZINC LTD.
BSE,E,500189,EQUITY,0,NDLVENTURE,1.0,NDL Ventures,,,,5.0,,ES,B,NDL Ventures Limited
BSE,E,500191,EQUITY,0,HMT,1.0,HMT,,,,1.0,,ES,Z,HMT LTD.
BSE,E,500192,EQUITY,0,PRAGBOS,1.0,Prag Bosimi Synthetics,,,,1.0,,ES,X,PRAG BOSIMI SYNTHETICS LT
BSE,E,500193,EQUITY,0,HLVLTD,1.0,Hotel Leela Venture,,,,1.0,,ES,B,HLV LIMITED
BSE,E,500199,EQUITY,0,IGPL,1.0,IG Petrochemicals,,,,5.0,,ES,B,I G PETROCHEMICALS LTD.
BSE,E,500201,EQUITY,0,INDIAGLYCO,1.0,India Glycols,,,,5.0,,ES,B,INDIA GLYCOLS LTD.
BSE,E,500202,EQUITY,0,INDLEASE,1.0,India Lease Development,,,,1.0,,ES,X,INDIA LEASE DEVELOPMENT L
BSE,E,500206,EQUITY,0,MARGOFIN,1.0,Margo Finance,,,,1.0,,ES,XT,MARGO FINANCE LIMITED
BSE,E,500207,EQUITY,0,INDORAMA,1.0,Indo Rama Synthetics,,,,1.0,,ES,B,INDO RAMA SYNTHETICS (IND
BSE,E,500209,EQUITY,0,INFY,1.0,Infosys,,,,5.0,,ES,A,INFOSYS LTD.
BSE,E,500210,EQUITY,0,INGERRAND,1.0,Ingersoll Rand,,,,5.0,,ES,A,INGERSOLL-RAND (INDIA) LT
BSE,E,500213,EQUITY,0,ITHL,1.0,International Travel House,,,,5.0,,ES,X,INTERNATIONAL TRAVEL HOUS
BSE,E,500214,EQUITY,0,IONEXCHANG,1.0,Ion Exchange,,,,5.0,,ES,A,ION EXCHANGE (INDIA) LTD.
BSE,E,500215,EQUITY,0,ATFL,1.0,Agro Tech Foods,,,,5.0,,ES,B,AGRO TECH FOODS LTD.
BSE,E,500219,EQUITY,0,JISLJALEQS,1.0,Jain Irrigation Systems,,,,1.0,,ES,A,JAIN IRRIGATION SYSTEMS L
BSE,E,500220,EQUITY,0,JASCH,1.0,Jasch Industries,,,,5.0,,ES,X,JASCH INDUSTRIES LTD.
BSE,E,500227,EQUITY,0,JINDALPOLY,1.0,Jindal Poly Films,,,,5.0,,ES,B,JINDAL POLY FILMS LTD.
BSE,E,500228,EQUITY,0,JSWSTEEL,1.0,JSW Steel,,,,5.0,,ES,A,JSW STEEL LTD.
BSE,E,500231,EQUITY,0,UMANGDAIRY,1.0,Umang Dairies,,,,5.0,,ES,T,UMANG DAIRIES LTD.
BSE,E,500233,EQUITY,0,KAJARIACER,1.0,Kajaria Ceramics,,,,5.0,,ES,A,KAJARIA CERAMICS LTD.
BSE,E,500234,EQUITY,0,KAKATCEM,1.0,Kakatiya Cement Sugar & Industries,,,,5.0,,ES,B,KAKATIYA CEMENT SUGAR & I
BSE,E,500235,EQUITY,0,KSL,1.0,Kalyani Steels,,,,5.0,,ES,B,KALYANI STEELS LTD.
BSE,E,500236,EQUITY,0,KANELIND,1.0,Kanel Industries,,,,1.0,,ES,XT,KANEL INDUSTRIES LIMITED
BSE,E,500238,EQUITY,0,WHIRLPOOL,1.0,Whirlpool,,,,5.0,,ES,A,WHIRLPOOL OF INDIA LTD.
BSE,E,500239,EQUITY,0,KGDENIM,1.0,KG Denim,,,,1.0,,ES,X,KG DENIM LTD.
BSE,E,500240,EQUITY,0,KINETICENG,1.0,Kinetic Engineering,,,,5.0,,ES,X,KINETIC ENGINEERING LTD.
BSE,E,500241,EQUITY,0,KIRLOSBROS,1.0,Kirloskar Brothers,,,,5.0,,ES,A,KIRLOSKAR BROTHERS LTD.
BSE,E,500243,EQUITY,0,KIRLOSIND,1.0,Kirloskar Industries,,,,5.0,,ES,B,KIRLOSKAR INDUSTRIES LTD
